date,base_population,air_arrival,air_departure,ferry_arrival,ferry_departure,total_arrival,total_departure,net_flow,tourist_stock,estimated_population,data_source
2013-01-01,583284,15989,0,1021,0,17010,0,17010,17010,600294,HTML
2013-01-02,583284,20794,1599,1327,102,22121,1701,20420,37430,620714,HTML
2013-01-03,583284,20967,6077,1338,388,22305,6465,15840,53270,636554,HTML
2013-01-04,583284,19368,12891,1236,823,20604,13714,6890,60160,643444,HTML
2013-01-05,583284,19069,17654,1217,1127,20286,18781,1505,61665,644949,HTML
2013-01-06,583284,16742,19845,1069,1267,17811,21112,-3301,58364,641648,HTML
2013-01-07,583284,20323,19493,1297,1244,21620,20737,883,59247,642531,HTML
2013-01-08,583284,16684,18862,1065,1204,17749,20066,-2317,56930,640214,HTML
2013-01-09,583284,16512,18359,1054,1172,17566,19531,-1965,54965,638249,HTML
2013-01-10,583284,20092,18191,1282,1161,21374,19352,2022,56987,640271,HTML
2013-01-11,583284,20887,17715,1333,1131,22220,18846,3374,60361,643645,HTML
2013-01-12,583284,24162,18260,1542,1166,25704,19425,6279,66639,649923,HTML
2013-01-13,583284,17326,19640,1106,1254,18432,20894,-2462,64177,647461,HTML
2013-01-14,583284,20035,20753,1279,1325,21314,22078,-764,63413,646697,HTML
2013-01-15,583284,18424,20978,1176,1339,19600,22317,-2717,60696,643980,HTML
2013-01-16,583284,17348,19836,1107,1266,18455,21102,-2647,58049,641333,HTML
2013-01-17,583284,21697,19234,1385,1228,23082,20462,2620,60668,643952,HTML
2013-01-18,583284,23979,18695,1531,1193,25510,19888,5622,66290,649574,HTML
2013-01-19,583284,25537,19582,1630,1250,27167,20832,6335,72625,655909,HTML
2013-01-20,583284,20920,21455,1335,1369,22255,22824,-569,72056,655340,HTML
2013-01-21,583284,20572,22944,1313,1464,21885,24408,-2523,69534,652818,HTML
2013-01-22,583284,17585,23191,1122,1480,18707,24671,-5964,63570,646854,HTML
2013-01-23,583284,17947,21729,1146,1387,19093,23116,-4023,59547,642831,HTML
2013-01-24,583284,21843,20129,1394,1285,23237,21414,1823,61371,644655,HTML
2013-01-25,583284,24072,19032,1537,1215,25609,20247,5362,66733,650017,HTML
2013-01-26,583284,26746,19724,1707,1259,28453,20983,7470,74203,657487,HTML
2013-01-27,583284,19658,21686,1255,1384,20913,23070,-2157,72046,655330,HTML
2013-01-28,583284,19876,23241,1269,1483,21145,24724,-3579,68467,651751,HTML
2013-01-29,583284,17171,23262,1096,1485,18267,24747,-6480,61987,645271,HTML
2013-01-30,583284,14757,21323,942,1361,15699,22684,-6985,55002,638286,HTML
2013-01-31,583284,17259,19331,1102,1234,18361,20565,-2204,52798,636082,HTML
2013-02-01,583284,17039,17366,1088,1108,18127,18475,-348,52450,635734,HTML
2013-02-02,583284,19239,16606,1228,1060,20467,17666,2801,55252,638536,HTML
2013-02-03,583284,12758,16893,814,1078,13572,17971,-4399,50853,634137,HTML
2013-02-04,583284,13011,16976,830,1084,13841,18060,-4219,46633,629917,HTML
2013-02-05,583284,11468,16358,732,1044,12200,17402,-5202,41431,624715,HTML
2013-02-07,583284,19142,14417,1222,920,20364,15337,5027,46458,629742,HTML
2013-02-08,583284,26567,13810,1696,882,28263,14692,13571,60030,643314,HTML
2013-02-09,583284,29007,15334,1851,979,30858,16313,14545,74575,657859,HTML
2013-02-10,583284,18676,19837,1192,1266,19868,21103,-1235,73340,656624,HTML
2013-02-11,583284,23169,23393,1479,1493,24648,24886,-238,73102,656386,HTML
2013-02-12,583284,22847,24366,1458,1555,24305,25921,-1616,71486,654770,HTML
2013-02-13,583284,24634,23071,1572,1473,26206,24544,1662,73147,656431,HTML
2013-02-14,583284,23985,22920,1531,1463,25516,24383,1133,74280,657564,HTML
2013-02-15,583284,25768,23054,1645,1472,27413,24526,2887,77167,660451,HTML
2013-02-16,583284,27196,24081,1736,1537,28932,25618,3314,80481,663765,HTML
2013-02-17,583284,22987,24768,1467,1581,24454,26349,-1895,78586,661870,HTML
2013-02-18,583284,23436,25377,1496,1620,24932,26997,-2065,76521,659805,HTML
2013-02-19,583284,21000,25161,1340,1606,22340,26767,-4427,72094,655378,HTML
2013-02-20,583284,22799,24021,1455,1533,24254,25554,-1300,70795,654079,HTML
2013-02-21,583284,25074,23050,1600,1471,26674,24521,2153,72948,656232,HTML
2013-02-22,583284,27427,22543,1751,1439,29178,23982,5196,78144,661428,HTML
2013-02-23,583284,29313,23534,1871,1502,31184,25036,6148,84292,667576,HTML
2013-02-24,583284,25302,25224,1615,1610,26917,26834,83,84375,667659,HTML
2013-02-25,583284,24526,26752,1565,1708,26091,28460,-2369,82006,665290,HTML
2013-02-26,583284,24162,27031,1542,1725,25704,28756,-3052,78954,662238,HTML
2013-02-27,583284,29052,26009,1854,1660,30906,27669,3237,82192,665476,HTML
2013-02-28,583284,29440,25521,1879,1629,31319,27150,4169,86361,669645,HTML
