날짜,일별_총전력(MWh)
2013-01-01,8148.96
2013-01-02,9253.83
2013-01-03,10889.43
2013-01-04,10739.19
2013-01-05,9278.93
2013-01-06,8756.74
2013-01-07,10689.63
2013-01-08,9837.89
2013-01-09,10272.23
2013-01-10,10125.16
2013-01-11,9924.85
2013-01-12,8778.53
2013-01-13,8415.74
2013-01-14,9119.07
2013-01-15,9518.85
2013-01-16,9392.66
2013-01-17,9923.19
2013-01-18,9854.14
2013-01-19,9171.94
2013-01-20,8850.19
2013-01-21,9211.18
2013-01-22,9220.86
2013-01-23,9405.81
2013-01-24,9595.83
2013-01-25,9697.69
2013-01-26,9939.41
2013-01-27,8997.41
2013-01-28,9534.03
2013-01-29,9379.21
2013-01-30,9089.66
2013-01-31,8773.81
2013-02-01,8555.24
2013-02-02,8199.65
2013-02-03,8101.52
2013-02-04,8551.42
2013-02-05,9164.06
2013-02-06,9231.86
2013-02-07,9949.85
2013-02-08,10417.21
2013-02-09,8783.01
2013-02-10,7505.27
2013-02-11,7855.05
2013-02-12,9291.8
2013-02-13,9530.53
2013-02-14,9582.13
2013-02-15,9367.71
2013-02-16,9037.54
2013-02-17,8669.54
2013-02-18,9297.05
2013-02-19,9747.57
2013-02-20,9971.51
2013-02-21,9857.26
2013-02-22,9529.73
2013-02-23,8795.01
2013-02-24,8376.79
2013-02-25,8966.38
2013-02-26,8920.93
2013-02-27,8495.88
2013-02-28,8278.61
2013-03-01,8819.46
2013-03-02,8755.17
2013-03-03,8212.16
2013-03-04,8754.53
2013-03-05,8714.08
2013-03-06,8393.42
2013-03-07,7956.49
2013-03-08,8042.47
2013-03-09,8582.08
2013-03-10,7365.84
2013-03-11,8113.62
2013-03-12,7769.36
2013-03-13,8278.48
2013-03-14,8446.65
2013-03-15,8533.96
2013-03-16,7984.29
2013-03-17,7614.28
2013-03-18,7914.45
2013-03-19,7978.22
2013-03-20,8118.63
2013-03-21,8618.27
2013-03-22,8753.02
2013-03-23,7978.02
2013-03-24,7565.81
2013-03-25,8660.21
2013-03-26,8670.7
2013-03-27,8288.32
2013-03-28,8161.55
2013-03-29,8176.86
2013-03-30,7915.75
2013-03-31,7293.12
2013-04-01,7861.59
2013-04-02,8826.06
2013-04-03,8195.64
2013-04-04,7265.95
2013-04-05,7760.17
2013-04-06,7919.11
2013-04-07,7851.96
2013-04-08,8186.62
2013-04-09,8340.77
2013-04-10,9289.03
2013-04-11,8356.01
2013-04-12,8789.8
2013-04-13,7860.23
2013-04-14,7081.0
2013-04-15,7951.76
2013-04-16,7407.62
2013-04-17,7235.12
2013-04-18,7481.19
2013-04-19,7629.94
2013-04-20,7941.0
2013-04-21,7339.0
2013-04-22,7980.35
2013-04-23,9043.05
2013-04-24,8438.21
2013-04-25,8701.45
2013-04-26,8299.21
2013-04-27,7380.6
2013-04-28,6685.72
2013-04-29,7032.32
2013-04-30,7204.42
2013-05-01,6949.93
2013-05-02,7532.55
2013-05-03,7360.89
2013-05-04,7031.32
2013-05-05,7812.86
2013-05-06,8837.25
2013-05-07,8756.58
2013-05-08,8612.65
2013-05-09,8547.64
2013-05-10,8456.41
2013-05-11,7868.87
2013-05-12,8413.92
2013-05-13,9005.08
2013-05-14,8941.05
2013-05-15,8927.45
2013-05-16,9642.86
2013-05-17,9826.67
2013-05-18,9963.47
2013-05-19,9464.5
2013-05-20,10057.5
2013-05-21,10172.4
2013-05-22,9887.85
2013-05-23,9186.29
2013-05-24,9237.73
2013-05-25,8899.0
2013-05-26,8355.22
2013-05-27,8494.79
2013-05-28,8334.49
2013-05-29,8490.58
2013-05-30,8179.51
2013-05-31,7033.82
2013-06-01,6358.02
2013-06-02,6084.99
2013-06-03,8309.01
2013-06-04,8817.42
2013-06-05,7889.79
2013-06-06,6517.94
2013-06-07,7957.2
2013-06-08,6389.14
2013-06-09,6019.91
2013-06-10,7135.44
2013-06-11,6770.44
2013-06-12,6700.67
2013-06-13,6730.43
2013-06-14,6770.89
2013-06-15,6806.75
2013-06-16,6532.87
2013-06-17,7143.6
2013-06-18,7530.72
2013-06-19,7635.35
2013-06-20,7492.5
2013-06-21,7379.63
2013-06-22,6731.75
2013-06-23,6402.04
2013-06-24,6904.94
2013-06-25,6984.42
2013-06-26,7208.6
2013-06-27,6987.47
2013-06-28,7233.54
2013-06-29,7002.08
2013-06-30,6662.84
2013-07-01,7712.23
2013-07-02,8439.15
2013-07-03,8496.34
2013-07-04,8359.4
2013-07-05,8321.23
2013-07-06,7309.51
2013-07-07,7425.35
2013-07-08,8518.35
2013-07-09,9085.47
2013-07-10,9032.96
2013-07-11,8993.26
2013-07-12,9054.91
2013-07-13,8889.05
2013-07-14,8460.44
2013-07-15,9189.65
2013-07-16,9164.49
2013-07-17,9334.24
2013-07-18,9500.03
2013-07-19,9517.46
2013-07-20,8924.83
2013-07-21,8482.57
2013-07-22,9354.32
2013-07-23,9360.11
2013-07-24,9497.63
2013-07-25,8674.54
2013-07-26,8142.23
2013-07-27,7542.72
2013-07-28,7496.36
2013-07-29,8964.5
2013-07-30,10150.71
2013-07-31,9806.52
2013-08-01,9146.69
2013-08-02,9313.84
2013-08-03,8254.24
2013-08-04,8284.31
2013-08-05,9171.09
2013-08-06,9719.6
2013-08-07,9637.32
2013-08-08,9825.53
2013-08-09,9930.46
2013-08-10,9560.13
2013-08-11,8866.59
2013-08-12,10311.09
2013-08-13,9786.07
2013-08-14,9851.94
2013-08-15,8927.88
2013-08-16,9672.89
2013-08-17,9151.3
2013-08-18,8944.49
2013-08-19,9548.85
2013-08-20,9657.43
2013-08-21,9645.85
2013-08-22,9890.41
2013-08-23,9324.04
2013-08-24,8514.3
2013-08-25,7964.22
2013-08-26,8003.09
2013-08-27,7768.18
2013-08-28,7965.35
2013-08-29,8897.26
2013-08-30,8180.72
2013-08-31,7087.44
2013-09-01,6367.96
2013-09-02,7217.01
2013-09-03,7061.83
2013-09-04,7005.65
2013-09-05,6748.0
2013-09-06,6711.29
2013-09-07,6223.63
2013-09-08,5968.83
2013-09-09,6679.61
2013-09-10,6916.13
2013-09-11,7352.48
2013-09-12,7757.8
2013-09-13,7921.94
2013-09-14,7034.31
2013-09-15,6588.46
2013-09-16,6854.97
2013-09-17,6650.42
2013-09-18,6834.5
2013-09-19,5921.16
2013-09-20,6242.01
2013-09-21,6295.37
2013-09-22,6286.34
2013-09-23,6853.67
2013-09-24,7075.93
2013-09-25,6469.72
2013-09-26,6411.56
2013-09-27,6235.65
2013-09-28,6264.5
2013-09-29,5967.43
2013-09-30,6393.12
2013-10-01,6455.24
2013-10-02,6586.54
2013-10-03,6296.81
2013-10-04,6671.91
2013-10-05,6673.52
2013-10-06,6505.21
2013-10-07,7136.62
2013-10-08,7154.06
2013-10-09,6516.76
2013-10-10,7248.46
2013-10-11,6886.36
2013-10-12,6374.57
