날짜,일별_입도객수,데이터소스,비고
2013-01-01,17010,HTML,
2013-01-02,22121,HTML,
2013-01-03,22305,HTML,
2013-01-04,20604,HTML,
2013-01-05,20286,HTML,
2013-01-06,17811,HTML,
2013-01-07,21620,HTML,
2013-01-08,17749,HTML,
2013-01-09,17566,HTML,
2013-01-10,21374,HTML,
2013-01-11,22220,HTML,
2013-01-12,25704,HTML,
2013-01-13,18432,HTML,
2013-01-14,21314,HTML,
2013-01-15,19600,HTML,
2013-01-16,18455,HTML,
2013-01-17,23082,HTML,
2013-01-18,25510,HTML,
2013-01-19,27167,HTML,
2013-01-20,22255,HTML,
2013-01-21,21885,HTML,
2013-01-22,18707,HTML,
2013-01-23,19093,HTML,
2013-01-24,23237,HTML,
2013-01-25,25609,HTML,
2013-01-26,28453,HTML,
2013-01-27,20913,HTML,
2013-01-28,21145,HTML,
2013-01-29,18267,HTML,
2013-01-30,15699,HTML,
2013-01-31,18361,HTML,
2013-02-01,18127,HTML,
2013-02-02,20467,HTML,
2013-02-03,13572,HTML,
2013-02-04,13841,HTML,
2013-02-05,12200,HTML,
2013-02-07,20364,HTML,
2013-02-08,28263,HTML,
2013-02-09,30858,HTML,
2013-02-10,19868,HTML,
2013-02-11,24648,HTML,
2013-02-12,24305,HTML,
2013-02-13,26206,HTML,
2013-02-14,25516,HTML,
2013-02-15,27413,HTML,
2013-02-16,28932,HTML,
2013-02-17,24454,HTML,
2013-02-18,24932,HTML,
2013-02-19,22340,HTML,
2013-02-20,24254,HTML,
2013-02-21,26674,HTML,
2013-02-22,29178,HTML,
2013-02-23,31184,HTML,
2013-02-24,26917,HTML,
2013-02-25,26091,HTML,
2013-02-26,25704,HTML,
2013-02-27,30906,HTML,
2013-02-28,31319,HTML,
2013-03-01,34580,HTML,
2013-03-02,18060,HTML,
2013-03-03,17100,HTML,
2013-03-04,17385,HTML,
2013-03-05,14481,HTML,
2013-03-06,14711,HTML,
2013-03-07,19595,HTML,
