date,ev_cumulative,ev_daily_new
2013-01-31,20,0
2013-02-01,20,0
2013-02-02,21,1
2013-02-03,21,0
2013-02-04,21,0
2013-02-05,22,1
2013-02-06,22,0
2013-02-07,22,0
2013-02-08,23,1
2013-02-09,23,0
2013-02-10,24,1
2013-02-11,24,0
2013-02-12,24,0
2013-02-13,25,1
2013-02-14,25,0
2013-02-15,25,0
2013-02-16,26,1
2013-02-17,26,0
2013-02-18,26,0
2013-02-19,27,1
2013-02-20,27,0
2013-02-21,28,1
2013-02-22,28,0
2013-02-23,28,0
2013-02-24,29,1
2013-02-25,29,0
2013-02-26,29,0
2013-02-27,30,1
2013-02-28,30,0
2013-03-01,30,0
2013-03-02,31,1
2013-03-03,31,0
2013-03-04,31,0
2013-03-05,32,1
2013-03-06,32,0
2013-03-07,32,0
2013-03-08,33,1
2013-03-09,33,0
2013-03-10,33,0
2013-03-11,34,1
2013-03-12,34,0
2013-03-13,34,0
2013-03-14,35,1
2013-03-15,35,0
2013-03-16,35,0
2013-03-17,35,0
2013-03-18,36,1
2013-03-19,36,0
2013-03-20,36,0
2013-03-21,37,1
2013-03-22,37,0
2013-03-23,37,0
2013-03-24,38,1
2013-03-25,38,0
2013-03-26,38,0
2013-03-27,39,1
2013-03-28,39,0
2013-03-29,39,0
2013-03-30,40,1
2013-03-31,40,0
2013-04-01,40,0
2013-04-02,41,1
2013-04-03,41,0
2013-04-04,41,0
2013-04-05,42,1
2013-04-06,42,0
2013-04-07,42,0
2013-04-08,43,1
2013-04-09,43,0
2013-04-10,43,0
2013-04-11,44,1
2013-04-12,44,0
2013-04-13,44,0
2013-04-14,45,1
2013-04-15,45,0
2013-04-16,45,0
2013-04-17,46,1
2013-04-18,46,0
2013-04-19,46,0
2013-04-20,47,1
2013-04-21,47,0
2013-04-22,47,0
2013-04-23,48,1
2013-04-24,48,0
2013-04-25,48,0
2013-04-26,49,1
2013-04-27,49,0
2013-04-28,49,0
2013-04-29,50,1
2013-04-30,50,0
2013-05-01,50,0
2013-05-02,51,1
2013-05-03,51,0
2013-05-04,52,1
2013-05-05,52,0
2013-05-06,53,1
2013-05-07,53,0
2013-05-08,54,1
2013-05-09,54,0
2013-05-10,55,1
2013-05-11,55,0
2013-05-12,56,1
2013-05-13,56,0
2013-05-14,57,1
2013-05-15,57,0
2013-05-16,58,1
2013-05-17,58,0
2013-05-18,59,1
2013-05-19,59,0
2013-05-20,60,1
2013-05-21,60,0
2013-05-22,61,1
2013-05-23,61,0
2013-05-24,62,1
2013-05-25,62,0
2013-05-26,63,1
2013-05-27,63,0
2013-05-28,64,1
2013-05-29,64,0
2013-05-30,65,1
2013-05-31,65,0
2013-06-01,66,1
2013-06-02,66,0
2013-06-03,66,0
2013-06-04,67,1
2013-06-05,68,1
2013-06-06,68,0
2013-06-07,68,0
2013-06-08,69,1
2013-06-09,70,1
2013-06-10,70,0
2013-06-11,70,0
2013-06-12,71,1
2013-06-13,72,1
2013-06-14,72,0
2013-06-15,72,0
2013-06-16,73,1
2013-06-17,74,1
2013-06-18,74,0
2013-06-19,74,0
2013-06-20,75,1
2013-06-21,76,1
2013-06-22,76,0
2013-06-23,76,0
2013-06-24,77,1
2013-06-25,78,1
2013-06-26,78,0
2013-06-27,78,0
2013-06-28,79,1
2013-06-29,80,1
2013-06-30,80,0
2013-07-01,80,0
2013-07-02,81,1
2013-07-03,81,0
2013-07-04,82,1
2013-07-05,82,0
2013-07-06,83,1
2013-07-07,83,0
2013-07-08,84,1
2013-07-09,84,0
2013-07-10,85,1
2013-07-11,85,0
2013-07-12,86,1
2013-07-13,86,0
2013-07-14,87,1
2013-07-15,87,0
2013-07-16,88,1
2013-07-17,88,0
2013-07-18,89,1
2013-07-19,89,0
2013-07-20,90,1
2013-07-21,90,0
2013-07-22,91,1
2013-07-23,91,0
2013-07-24,92,1
2013-07-25,92,0
2013-07-26,93,1
2013-07-27,93,0
2013-07-28,94,1
2013-07-29,94,0
2013-07-30,95,1
2013-07-31,95,0
2013-08-01,95,0
2013-08-02,96,1
2013-08-03,96,0
2013-08-04,97,1
2013-08-05,97,0
2013-08-06,98,1
2013-08-07,98,0
2013-08-08,99,1
2013-08-09,99,0
2013-08-10,100,1
2013-08-11,100,0
2013-08-12,101,1
2013-08-13,101,0
2013-08-14,102,1
2013-08-15,102,0
2013-08-16,103,1
2013-08-17,103,0
2013-08-18,104,1
2013-08-19,104,0
2013-08-20,105,1
2013-08-21,105,0
2013-08-22,106,1
2013-08-23,106,0
2013-08-24,107,1
2013-08-25,107,0
2013-08-26,108,1
2013-08-27,108,0
2013-08-28,109,1
2013-08-29,109,0
2013-08-30,110,1
2013-08-31,110,0
2013-09-01,110,0
2013-09-02,111,1
2013-09-03,112,1
2013-09-04,112,0
2013-09-05,112,0
2013-09-06,113,1
2013-09-07,114,1
2013-09-08,114,0
2013-09-09,114,0
2013-09-10,115,1
2013-09-11,116,1
2013-09-12,116,0
2013-09-13,116,0
2013-09-14,117,1
2013-09-15,118,1
2013-09-16,118,0
2013-09-17,118,0
2013-09-18,119,1
2013-09-19,120,1
2013-09-20,120,0
2013-09-21,120,0
2013-09-22,121,1
2013-09-23,122,1
2013-09-24,122,0
2013-09-25,122,0
2013-09-26,123,1
2013-09-27,124,1
2013-09-28,124,0
2013-09-29,124,0
2013-09-30,125,1
2013-10-01,125,0
2013-10-02,126,1
2013-10-03,126,0
2013-10-04,126,0
2013-10-05,127,1
2013-10-06,127,0
2013-10-07,127,0
2013-10-08,128,1
2013-10-09,128,0
2013-10-10,128,0
2013-10-11,129,1
2013-10-12,129,0
2013-10-13,129,0
2013-10-14,130,1
2013-10-15,130,0
2013-10-16,130,0
2013-10-17,130,0
2013-10-18,131,1
2013-10-19,131,0
2013-10-20,131,0
2013-10-21,132,1
2013-10-22,132,0
2013-10-23,132,0
2013-10-24,133,1
2013-10-25,133,0
2013-10-26,133,0
2013-10-27,134,1
2013-10-28,134,0
2013-10-29,134,0
2013-10-30,135,1
2013-10-31,135,0
