瘤痢,瘤痢疙,老矫,乞闭 捞浇痢柯档(∑C)
184,力林,2023-01-01,1
184,力林,2023-01-02,-1.6
184,力林,2023-01-03,-1
184,力林,2023-01-04,-.4
184,力林,2023-01-05,1.7
184,力林,2023-01-06,3.7
184,力林,2023-01-07,.3
184,力林,2023-01-08,1.4
184,力林,2023-01-09,4
184,力林,2023-01-10,3.9
184,力林,2023-01-11,4.3
184,力林,2023-01-12,7.5
184,力林,2023-01-13,15.7
184,力林,2023-01-14,10
184,力林,2023-01-15,2.2
184,力林,2023-01-16,-2.1
184,力林,2023-01-17,-1.1
184,力林,2023-01-18,-1
184,力林,2023-01-19,-.7
184,力林,2023-01-20,-1.4
184,力林,2023-01-21,-2.7
184,力林,2023-01-22,3.5
184,力林,2023-01-23,2.5
184,力林,2023-01-24,-5
184,力林,2023-01-25,-5.8
184,力林,2023-01-26,.3
184,力林,2023-01-27,-.4
184,力林,2023-01-28,-2.9
184,力林,2023-01-29,-1.2
184,力林,2023-01-30,-3
184,力林,2023-01-31,-1.3
184,力林,2023-02-01,3.1
184,力林,2023-02-02,-2.8
184,力林,2023-02-03,-1.6
184,力林,2023-02-04,-1.3
184,力林,2023-02-05,-2.7
184,力林,2023-02-06,3
184,力林,2023-02-07,4.3
184,力林,2023-02-08,.3
184,力林,2023-02-09,4.6
184,力林,2023-02-10,5.7
184,力林,2023-02-11,6.3
184,力林,2023-02-12,8
184,力林,2023-02-13,6.5
184,力林,2023-02-14,.7
184,力林,2023-02-15,2.8
184,力林,2023-02-16,5
184,力林,2023-02-17,7.5
184,力林,2023-02-18,11.4
184,力林,2023-02-19,3.9
184,力林,2023-02-20,-2.2
184,力林,2023-02-21,-4.9
184,力林,2023-02-22,3.6
184,力林,2023-02-23,4.1
184,力林,2023-02-24,1.6
184,力林,2023-02-25,-2.4
184,力林,2023-02-26,-2.8
184,力林,2023-02-27,1
184,力林,2023-02-28,5.1
184,力林,2023-03-01,5.8
184,力林,2023-03-02,-3.2
184,力林,2023-03-03,-1.5
184,力林,2023-03-04,1.1
184,力林,2023-03-05,3.2
184,力林,2023-03-06,3.8
184,力林,2023-03-07,3.7
184,力林,2023-03-08,6
184,力林,2023-03-09,10.7
184,力林,2023-03-10,10.5
184,力林,2023-03-11,9.2
184,力林,2023-03-12,5.4
184,力林,2023-03-13,-3.8
184,力林,2023-03-14,2.4
184,力林,2023-03-15,9.3
184,力林,2023-03-16,2.5
184,力林,2023-03-17,7.9
184,力林,2023-03-18,3.8
184,力林,2023-03-19,4.1
184,力林,2023-03-20,6.6
184,力林,2023-03-21,13.4
184,力林,2023-03-22,16.1
184,力林,2023-03-23,12.4
184,力林,2023-03-24,8.8
184,力林,2023-03-25,10.2
184,力林,2023-03-26,4.5
184,力林,2023-03-27,-1.5
184,力林,2023-03-28,2
184,力林,2023-03-29,6.1
184,力林,2023-03-30,6.8
184,力林,2023-03-31,8.3
184,力林,2023-04-01,11.4
184,力林,2023-04-02,7.4
184,力林,2023-04-03,9.8
184,力林,2023-04-04,12.9
184,力林,2023-04-05,13.5
184,力林,2023-04-06,9.2
184,力林,2023-04-07,7.1
184,力林,2023-04-08,2.3
184,力林,2023-04-09,-.5
184,力林,2023-04-10,6.8
184,力林,2023-04-11,12.1
184,力林,2023-04-12,-.3
184,力林,2023-04-13,4.1
184,力林,2023-04-14,13.3
184,力林,2023-04-15,12.8
184,力林,2023-04-16,8.9
184,力林,2023-04-17,6.8
184,力林,2023-04-18,15
184,力林,2023-04-19,17.3
184,力林,2023-04-20,15.1
184,力林,2023-04-21,13.1
184,力林,2023-04-22,7.4
184,力林,2023-04-23,8.5
184,力林,2023-04-24,9.3
