거래일자,시간,지역,전력거래량(MWh)
2013-01-01,1,제주도,401.327732
2013-01-01,2,제주도,374.373063
2013-01-01,3,제주도,347.398428
2013-01-01,4,제주도,338.299756
2013-01-01,5,제주도,338.29344
2013-01-01,6,제주도,343.889886
2013-01-01,7,제주도,351.082228
2013-01-01,8,제주도,338.96597
2013-01-01,9,제주도,326.086684
2013-01-01,10,제주도,309.883463
2013-01-01,11,제주도,301.672563
2013-01-01,12,제주도,296.301465
2013-01-01,13,제주도,284.7671
2013-01-01,14,제주도,287.067092
2013-01-01,15,제주도,286.183657
2013-01-01,16,제주도,286.427269
2013-01-01,17,제주도,299.623529
2013-01-01,18,제주도,343.299525
2013-01-01,19,제주도,382.870541
2013-01-01,20,제주도,385.244823
2013-01-01,21,제주도,380.5042
2013-01-01,22,제주도,370.872774
2013-01-01,23,제주도,378.504616
2013-01-01,24,제주도,396.024088
2013-01-02,1,제주도,365.473283
2013-01-02,2,제주도,340.160152
2013-01-02,3,제주도,324.638758
2013-01-02,4,제주도,317.275178
2013-01-02,5,제주도,322.82605
2013-01-02,6,제주도,331.27771
2013-01-02,7,제주도,345.671976
2013-01-02,8,제주도,363.777294
2013-01-02,9,제주도,399.263254
2013-01-02,10,제주도,400.971744
2013-01-02,11,제주도,398.600871
2013-01-02,12,제주도,394.039303
2013-01-02,13,제주도,364.326878
2013-01-02,14,제주도,380.06292
2013-01-02,15,제주도,384.494874
2013-01-02,16,제주도,381.673148
2013-01-02,17,제주도,397.705871
2013-01-02,18,제주도,433.763754
2013-01-02,19,제주도,458.192021
2013-01-02,20,제주도,451.453471
2013-01-02,21,제주도,434.535237
2013-01-02,22,제주도,411.78931
2013-01-02,23,제주도,420.576876
2013-01-02,24,제주도,431.280708
2013-01-03,1,제주도,402.2955
2013-01-03,2,제주도,375.910888
2013-01-03,3,제주도,355.64916
2013-01-03,4,제주도,347.734612
2013-01-03,5,제주도,350.709472
2013-01-03,6,제주도,363.097796
2013-01-03,7,제주도,382.489444
2013-01-03,8,제주도,402.389456
2013-01-03,9,제주도,461.63285
2013-01-03,10,제주도,514.495391
2013-01-03,11,제주도,522.705746
2013-01-03,12,제주도,516.006482
2013-01-03,13,제주도,493.025331
2013-01-03,14,제주도,499.341264
2013-01-03,15,제주도,498.935038
2013-01-03,16,제주도,504.324902
2013-01-03,17,제주도,531.869377
2013-01-03,18,제주도,556.451652
2013-01-03,19,제주도,566.149692
2013-01-03,20,제주도,485.201306
2013-01-03,21,제주도,455.112304
2013-01-03,22,제주도,431.368072
2013-01-03,23,제주도,430.282888
2013-01-03,24,제주도,442.246688
2013-01-04,1,제주도,409.74244
2013-01-04,2,제주도,384.954852
2013-01-04,3,제주도,367.331088
2013-01-04,4,제주도,358.817688
2013-01-04,5,제주도,358.49994
2013-01-04,6,제주도,372.194608
2013-01-04,7,제주도,387.194184
2013-01-04,8,제주도,410.760328
2013-01-04,9,제주도,458.285668
2013-01-04,10,제주도,492.74447
2013-01-04,11,제주도,487.17021
2013-01-04,12,제주도,495.316772
2013-01-04,13,제주도,477.877054
2013-01-04,14,제주도,481.249756
2013-01-04,15,제주도,487.029944
2013-01-04,16,제주도,480.622676
2013-01-04,17,제주도,495.433392
2013-01-04,18,제주도,530.359612
2013-01-04,19,제주도,556.07926
2013-01-04,20,제주도,509.90834
2013-01-04,21,제주도,450.020313
2013-01-04,22,제주도,425.892446
2013-01-04,23,제주도,425.932982
2013-01-04,24,제주도,435.776366
2013-01-05,1,제주도,401.859799
2013-01-05,2,제주도,382.995713
2013-01-05,3,제주도,362.595877
2013-01-05,4,제주도,352.485449
2013-01-05,5,제주도,352.300006
2013-01-05,6,제주도,358.486191
2013-01-05,7,제주도,373.246418
2013-01-05,8,제주도,374.62769
2013-01-05,9,제주도,385.116286
2013-01-05,10,제주도,395.219609
2013-01-05,11,제주도,393.399414
2013-01-05,12,제주도,383.617475
2013-01-05,13,제주도,361.051293
2013-01-05,14,제주도,352.553747
2013-01-05,15,제주도,360.956039
2013-01-05,16,제주도,358.733947
2013-01-05,17,제주도,373.860393
2013-01-05,18,제주도,408.676087
2013-01-05,19,제주도,442.062481
2013-01-05,20,제주도,433.92102
2013-01-05,21,제주도,425.087759
2013-01-05,22,제주도,408.021006
2013-01-05,23,제주도,413.517726
2013-01-05,24,제주도,424.543211
2013-01-06,1,제주도,394.45867
2013-01-06,2,제주도,378.714224
2013-01-06,3,제주도,359.845548
2013-01-06,4,제주도,348.995757
2013-01-06,5,제주도,348.174503
2013-01-06,6,제주도,356.143122
2013-01-06,7,제주도,361.288314
2013-01-06,8,제주도,357.216478
2013-01-06,9,제주도,348.566502
2013-01-06,10,제주도,339.793431
2013-01-06,11,제주도,343.983254
2013-01-06,12,제주도,333.528755
2013-01-06,13,제주도,325.692793
2013-01-06,14,제주도,331.050556
2013-01-06,15,제주도,330.80116
2013-01-06,16,제주도,327.279134
2013-01-06,17,제주도,340.635591
2013-01-06,18,제주도,384.533235
2013-01-06,19,제주도,419.822207
2013-01-06,20,제주도,419.551286
2013-01-06,21,제주도,407.68679
2013-01-06,22,제주도,394.078327
2013-01-06,23,제주도,398.89634
2013-01-06,24,제주도,406.008464
2013-01-07,1,제주도,382.846732
2013-01-07,2,제주도,359.923466
2013-01-07,3,제주도,342.392232
2013-01-07,4,제주도,338.544568
2013-01-07,5,제주도,343.169026
2013-01-07,6,제주도,349.989256
2013-01-07,7,제주도,362.972419
2013-01-07,8,제주도,383.101997
2013-01-07,9,제주도,439.360444
2013-01-07,10,제주도,513.425085
2013-01-07,11,제주도,528.940262
2013-01-07,12,제주도,519.548448
2013-01-07,13,제주도,496.357108
2013-01-07,14,제주도,519.307465
2013-01-07,15,제주도,526.45153
2013-01-07,16,제주도,515.235067
2013-01-07,17,제주도,508.534348
2013-01-07,18,제주도,524.544266
2013-01-07,19,제주도,548.68353
2013-01-07,20,제주도,487.824699
2013-01-07,21,제주도,438.749893
2013-01-07,22,제주도,416.317296
2013-01-07,23,제주도,415.893058
2013-01-07,24,제주도,427.520539
2013-01-08,1,제주도,395.869265
2013-01-08,2,제주도,369.521256
2013-01-08,3,제주도,352.264127
2013-01-08,4,제주도,343.152682
2013-01-08,5,제주도,343.354379
2013-01-08,6,제주도,353.944013
2013-01-08,7,제주도,369.014395
2013-01-08,8,제주도,390.300568
2013-01-08,9,제주도,429.273778
2013-01-08,10,제주도,477.750982
2013-01-08,11,제주도,508.955129
2013-01-08,12,제주도,493.432548
2013-01-08,13,제주도,391.701065
2013-01-08,14,제주도,382.004214
2013-01-08,15,제주도,386.031606
2013-01-08,16,제주도,377.697444
