瘤痢,瘤痢疙,老矫,钦拌 老荤樊(MJ/m2)
184,力林,2013-01-01,7.9
184,力林,2013-01-02,5.87
184,力林,2013-01-03,3.41
184,力林,2013-01-04,11.14
184,力林,2013-01-05,4.54
184,力林,2013-01-06,1.93
184,力林,2013-01-07,1.52
184,力林,2013-01-08,10.02
184,力林,2013-01-09,3.15
184,力林,2013-01-10,7.28
184,力林,2013-01-11,11.51
184,力林,2013-01-12,10.32
184,力林,2013-01-13,1.91
184,力林,2013-01-14,10.42
184,力林,2013-01-15,11.64
184,力林,2013-01-16,3.41
184,力林,2013-01-17,1.77
184,力林,2013-01-18,5.73
184,力林,2013-01-19,7.58
184,力林,2013-01-20,8.48
184,力林,2013-01-21,1.66
184,力林,2013-01-22,.59
184,力林,2013-01-23,1.16
184,力林,2013-01-24,1.65
184,力林,2013-01-25,5.89
184,力林,2013-01-26,3.17
184,力林,2013-01-27,5.59
184,力林,2013-01-28,13.72
184,力林,2013-01-29,9.25
184,力林,2013-01-30,12.84
184,力林,2013-01-31,7.49
184,力林,2013-02-01,2.7
184,力林,2013-02-02,12.09
184,力林,2013-02-03,9.2
184,力林,2013-02-04,2.69
184,力林,2013-02-05,1.08
184,力林,2013-02-06,.89
184,力林,2013-02-07,3.82
184,力林,2013-02-08,4.66
184,力林,2013-02-09,2.66
184,力林,2013-02-10,9.84
184,力林,2013-02-11,14.93
184,力林,2013-02-12,1.77
184,力林,2013-02-13,16.05
184,力林,2013-02-14,3.56
184,力林,2013-02-15,8.08
184,力林,2013-02-16,16.3
184,力林,2013-02-17,1.65
184,力林,2013-02-18,1.57
184,力林,2013-02-19,9.37
184,力林,2013-02-20,14.75
184,力林,2013-02-21,14.57
184,力林,2013-02-22,14.15
184,力林,2013-02-23,16.52
184,力林,2013-02-24,16.4
184,力林,2013-02-25,8.9
184,力林,2013-02-26,4.46
184,力林,2013-02-27,15.85
184,力林,2013-02-28,16.99
184,力林,2013-03-01,4.42
184,力林,2013-03-02,13.79
184,力林,2013-03-03,16.84
184,力林,2013-03-04,14.89
184,力林,2013-03-05,19
