瘤痢,瘤痢疙,老矫,1.5m 瘤吝柯档(∑C)
184,力林,2023-01-05,9.9
184,力林,2023-01-06,10
184,力林,2023-01-07,9.9
184,力林,2023-01-08,9.7
184,力林,2023-01-09,10
184,力林,2023-01-10,10.2
184,力林,2023-01-11,10.4
184,力林,2023-01-12,10.6
184,力林,2023-01-13,10.5
184,力林,2023-01-14,10.6
184,力林,2023-01-15,11
184,力林,2023-01-16,10.5
184,力林,2023-01-17,10.6
184,力林,2023-01-18,10.6
184,力林,2023-01-19,10.4
184,力林,2023-01-20,10.3
184,力林,2023-01-21,10.5
184,力林,2023-01-22,10.6
184,力林,2023-01-23,10.9
184,力林,2023-01-24,10.5
184,力林,2023-01-25,9.8
184,力林,2023-01-26,10
184,力林,2023-01-27,10.1
184,力林,2023-01-28,9.2
184,力林,2023-01-29,8.6
184,力林,2023-01-30,8
184,力林,2023-01-31,8.4
184,力林,2023-02-01,8.7
184,力林,2023-02-02,9
184,力林,2023-02-03,9
184,力林,2023-02-04,8.9
184,力林,2023-02-05,9
184,力林,2023-02-06,9.4
184,力林,2023-02-07,9.5
184,力林,2023-02-08,9.6
184,力林,2023-02-09,9.9
184,力林,2023-02-10,10.7
184,力林,2023-02-11,10.2
184,力林,2023-02-12,10.4
184,力林,2023-02-13,11.3
184,力林,2023-02-14,10.9
184,力林,2023-02-15,10.6
184,力林,2023-02-16,10.8
184,力林,2023-02-17,10.8
184,力林,2023-02-18,10.8
184,力林,2023-02-19,10.6
184,力林,2023-02-20,10.6
184,力林,2023-02-21,10.6
184,力林,2023-02-22,10.7
184,力林,2023-02-23,10.9
184,力林,2023-02-24,11
184,力林,2023-02-25,10.7
184,力林,2023-02-26,10.5
184,力林,2023-02-27,10.5
184,力林,2023-02-28,10.6
184,力林,2023-03-01,10.7
184,力林,2023-03-02,10.6
184,力林,2023-03-03,10.5
184,力林,2023-03-04,10.6
184,力林,2023-03-05,10.8
184,力林,2023-03-06,10.9
184,力林,2023-03-07,10.9
184,力林,2023-03-08,10.9
184,力林,2023-03-09,11.1
184,力林,2023-03-10,11.2
184,力林,2023-03-11,11.4
184,力林,2023-03-12,11.5
184,力林,2023-03-13,11.3
184,力林,2023-03-14,11.5
184,力林,2023-03-15,11.7
184,力林,2023-03-16,11.8
184,力林,2023-03-17,11.9
184,力林,2023-03-18,12.3
184,力林,2023-03-19,12.1
184,力林,2023-03-20,12.2
184,力林,2023-03-21,12.3
184,力林,2023-03-22,12.5
184,力林,2023-03-23,12.5
184,力林,2023-03-24,12.4
184,力林,2023-03-25,12.6
184,力林,2023-03-26,12.8
184,力林,2023-03-27,12.7
184,力林,2023-03-28,12.7
184,力林,2023-03-29,12.8
184,力林,2023-03-30,12.9
184,力林,2023-03-31,13.1
184,力林,2023-04-01,13.1
184,力林,2023-04-02,13.3
184,力林,2023-04-03,13.5
184,力林,2023-04-04,13.6
184,力林,2023-04-05,13.8
184,力林,2023-04-06,13.7
184,力林,2023-04-07,13.8
184,力林,2023-04-08,13.7
184,力林,2023-04-09,13.7
184,力林,2023-04-10,13.7
184,力林,2023-04-11,13.8
184,力林,2023-04-12,13.9
184,力林,2023-04-13,13.9
