瘤痢,瘤痢疙,老矫,乞闭 10cm 瘤吝柯档(∑C)
184,力林,2023-01-01,7.7
184,力林,2023-01-02,7.7
184,力林,2023-01-03,7.6
184,力林,2023-01-04,8
184,力林,2023-01-05,8
184,力林,2023-01-06,8.3
184,力林,2023-01-07,8.8
184,力林,2023-01-08,8.4
184,力林,2023-01-09,8.9
184,力林,2023-01-10,8.9
184,力林,2023-01-11,9.5
184,力林,2023-01-12,9.6
184,力林,2023-01-13,13
184,力林,2023-01-14,12.9
184,力林,2023-01-15,10.5
184,力林,2023-01-16,7.9
184,力林,2023-01-17,6.8
184,力林,2023-01-18,6.9
184,力林,2023-01-19,7.6
184,力林,2023-01-20,7.9
184,力林,2023-01-21,7
184,力林,2023-01-22,6.5
184,力林,2023-01-23,7.8
184,力林,2023-01-24,6.4
184,力林,2023-01-25,5.2
184,力林,2023-01-26,5.8
184,力林,2023-01-27,6.2
184,力林,2023-01-28,4.9
184,力林,2023-01-29,5.1
184,力林,2023-01-30,6.5
184,力林,2023-01-31,6.6
184,力林,2023-02-01,8
184,力林,2023-02-02,8.1
184,力林,2023-02-03,7.7
184,力林,2023-02-04,7.9
184,力林,2023-02-05,7.9
184,力林,2023-02-06,7.8
184,力林,2023-02-07,9.3
184,力林,2023-02-08,9.1
184,力林,2023-02-09,9.3
184,力林,2023-02-10,9.8
184,力林,2023-02-11,9.1
184,力林,2023-02-12,9.7
184,力林,2023-02-13,10.4
184,力林,2023-02-14,10
184,力林,2023-02-15,8.5
184,力林,2023-02-16,8.4
184,力林,2023-02-17,8.7
184,力林,2023-02-18,10.8
184,力林,2023-02-19,10.9
184,力林,2023-02-20,8.7
184,力林,2023-02-21,8.2
184,力林,2023-02-22,8.1
184,力林,2023-02-23,9.2
184,力林,2023-02-24,9.7
184,力林,2023-02-25,8.5
184,力林,2023-02-26,8.6
184,力林,2023-02-27,9.3
184,力林,2023-02-28,10.7
184,力林,2023-03-01,11.9
184,力林,2023-03-02,10.1
184,力林,2023-03-03,9.7
184,力林,2023-03-04,11
184,力林,2023-03-05,11.6
184,力林,2023-03-06,12.4
184,力林,2023-03-07,13.3
184,力林,2023-03-08,13.8
184,力林,2023-03-09,14.9
184,力林,2023-03-10,15
184,力林,2023-03-11,15.2
184,力林,2023-03-12,14.4
184,力林,2023-03-13,12.1
184,力林,2023-03-14,12.4
184,力林,2023-03-15,14.2
184,力林,2023-03-16,15.5
184,力林,2023-03-17,14.3
184,力林,2023-03-18,14.2
184,力林,2023-03-19,14
184,力林,2023-03-20,13.9
184,力林,2023-03-21,14.8
184,力林,2023-03-22,16.3
184,力林,2023-03-23,16.6
184,力林,2023-03-24,14.7
184,力林,2023-03-25,14.2
184,力林,2023-03-26,14.8
184,力林,2023-03-27,14.7
184,力林,2023-03-28,14.8
184,力林,2023-03-29,15.8
184,力林,2023-03-30,16
184,力林,2023-03-31,17.5
184,力林,2023-04-01,17.6
184,力林,2023-04-02,18.2
184,力林,2023-04-03,18.4
184,力林,2023-04-04,17.9
184,力林,2023-04-05,17.3
184,力林,2023-04-06,15.8
184,力林,2023-04-07,15.2
184,力林,2023-04-08,14.9
184,力林,2023-04-09,15.7
184,力林,2023-04-10,16.5
184,力林,2023-04-11,17.9
184,力林,2023-04-12,19
184,力林,2023-04-13,18.4
184,力林,2023-04-14,18
184,力林,2023-04-15,17.6
184,力林,2023-04-16,17.4
184,力林,2023-04-17,17.6
184,力林,2023-04-18,19.8
184,力林,2023-04-19,21.1
184,力林,2023-04-20,21.3
184,力林,2023-04-21,21.6
184,力林,2023-04-22,20.9
184,力林,2023-04-23,20
184,力林,2023-04-24,18.7
184,力林,2023-04-25,17
184,力林,2023-04-26,17
184,力林,2023-04-27,17.6
184,力林,2023-04-28,18.7
184,力林,2023-04-29,19.1
184,力林,2023-04-30,18.1
184,力林,2023-05-01,19.5
184,力林,2023-05-02,20.4
184,力林,2023-05-03,19.7
184,力林,2023-05-04,18.3
184,力林,2023-05-05,19.9
184,力林,2023-05-06,21.2
184,力林,2023-05-07,19.2
184,力林,2023-05-08,18.4
184,力林,2023-05-09,19.2
184,力林,2023-05-10,20.5
184,力林,2023-05-11,21.4
184,力林,2023-05-12,21
184,力林,2023-05-13,20.1
184,力林,2023-05-14,20.2
184,力林,2023-05-15,20.1
184,力林,2023-05-16,21.4
184,力林,2023-05-17,22.7
184,力林,2023-05-18,22
184,力林,2023-05-19,21.6
184,力林,2023-05-20,22.8
184,力林,2023-05-21,23
184,力林,2023-05-22,21.9
184,力林,2023-05-23,21.8
184,力林,2023-05-24,22
184,力林,2023-05-25,23.1
184,力林,2023-05-26,24.3
184,力林,2023-05-27,24.6
184,力林,2023-05-28,25.4
184,力林,2023-05-29,26.3
184,力林,2023-05-30,25
184,力林,2023-05-31,24
184,力林,2023-06-01,24
184,力林,2023-06-02,24.7
184,力林,2023-06-03,25.1
184,力林,2023-06-04,25
184,力林,2023-06-05,24.1
184,力林,2023-06-06,22.5
184,力林,2023-06-07,23.1
184,力林,2023-06-08,24.5
184,力林,2023-06-09,25.2
184,力林,2023-06-10,26.4
184,力林,2023-06-11,26.8
184,力林,2023-06-12,26.8
184,力林,2023-06-13,26.6
184,力林,2023-06-14,26.5
184,力林,2023-06-15,26.8
184,力林,2023-06-16,26.6
184,力林,2023-06-17,26.7
184,力林,2023-06-18,26.9
184,力林,2023-06-19,26.5
184,力林,2023-06-20,26.6
184,力林,2023-06-21,25.5
184,力林,2023-06-22,25.8
184,力林,2023-06-23,26.7
184,力林,2023-06-24,27.3
184,力林,2023-06-25,25.2
184,力林,2023-06-26,26
184,力林,2023-06-27,26.7
184,力林,2023-06-28,27.7
184,力林,2023-06-29,28.2
184,力林,2023-06-30,26.9
184,力林,2023-07-01,27.1
184,力林,2023-07-02,28
184,力林,2023-07-03,27.5
184,力林,2023-07-04,28.1
184,力林,2023-07-05,28.4
184,力林,2023-07-06,28.2
184,力林,2023-07-07,28.4
184,力林,2023-07-08,27.8
184,力林,2023-07-09,28.2
184,力林,2023-07-10,29.2
184,力林,2023-07-11,30.2
184,力林,2023-07-12,30.9
184,力林,2023-07-13,30.5
184,力林,2023-07-14,30.1
184,力林,2023-07-15,30.7
184,力林,2023-07-16,30.7
184,力林,2023-07-17,30.1
184,力林,2023-07-18,29.6
184,力林,2023-07-19,29
184,力林,2023-07-20,28.9
184,力林,2023-07-21,28.9
184,力林,2023-07-22,28.1
184,力林,2023-07-23,28.7
184,力林,2023-07-24,28.9
184,力林,2023-07-25,28.6
184,力林,2023-07-26,29.8
184,力林,2023-07-27,30.8
184,力林,2023-07-28,30.5
184,力林,2023-07-29,30.5
184,力林,2023-07-30,30.7
184,力林,2023-07-31,31.2
184,力林,2023-08-01,31.7
184,力林,2023-08-02,32
184,力林,2023-08-03,32.4
184,力林,2023-08-04,32.7
184,力林,2023-08-05,32.9
184,力林,2023-08-06,32.7
184,力林,2023-08-07,33.2
184,力林,2023-08-08,32.7
184,力林,2023-08-09,31.2
184,力林,2023-08-10,30.3
184,力林,2023-08-11,30.8
184,力林,2023-08-12,31.5
